Player,Predicted_3P%,TEAM
Ulrich Chomche,6.218905472636816e-06,TOR
Vasilije Micić,0.33550594651176285,PHX
Victor Wembanyama,0.38248776851901417,SAS
Vince Williams Jr.,0.290686599337244,MEM
Vlatko Čančar,0.23665935682811892,DEN
Vít Krejčí,0.3962365284731122,ATL
Walker Kessler,0.2407205255869612,UTA
Wendell Carter Jr.,0.23364933398422916,ORL
Wendell Moore Jr.,0.29146792281401585,CHA
Xavier Tillman,0.2265160277583232,BOS
Yuki Kawamura,0.23879511015972762,MEM
Yuri Collins,0.007506218905472637,GSW
Yves Missi,0.02970546515712437,NOP
Zaccharie Risacher,0.38044152775701173,ATL
Zach Collins,0.3063457057568083,CHI
Zach Edey,0.3573864731156786,MEM
Zach LaVine,0.38909824604155624,SAC
Zeke Nnaji,0.32270249466548195,DEN
Ziaire Williams,0.36378532936849145,BKN
Zion Williamson,0.24991947324363878,NOP
Zyon Pullin,6.218905472636816e-06,MEM
